M11_order_1_based,column_name,prefix_block,documented_block,M5,M10,M11,M11_without_audit,legacy_dictionary_first_modality,legacy_dictionary_block,legacy_dictionary_dtype_reported,legacy_description_verbatim,upstream_zind_identifier,source_report_all_zero,formula_status,historical_asof_availability,block_annotation_basis,dictionary_identity_evidence
33,fin_dsri_t1_zind,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,M5,Financial,float32,derived; see pipeline source for details,True,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
34,fin_mscore_t0,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,M5,Financial,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
35,fin_mscore_t0_zind,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,M5,Financial,float32,derived; see pipeline source for details,True,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
36,fin_mscore_t1,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,M5,Financial,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
37,fin_mscore_t1_zind,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,M5,Financial,float32,derived; see pipeline source for details,True,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
38,fin_ocf_to_ni_t0,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,M5,Financial,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
39,fin_ocf_to_ni_t0_zind,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,M5,Financial,float32,derived; see pipeline source for details,True,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
40,fin_ocf_to_ni_t1,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,M5,Financial,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
41,fin_ocf_to_ni_t1_zind,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,M5,Financial,float32,derived; see pipeline source for details,True,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
42,fin_oth_recv_to_ta_t0,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,M5,Financial,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
43,fin_oth_recv_to_ta_t0_zind,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,M5,Financial,float32,derived; see pipeline source for details,True,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
44,fin_oth_recv_to_ta_t1,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,M5,Financial,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
45,fin_oth_recv_to_ta_t1_zind,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,M5,Financial,float32,derived; see pipeline source for details,True,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
46,fin_zscore_t0,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,M5,Financial,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
47,fin_zscore_t0_zind,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,M5,Financial,float32,derived; see pipeline source for details,True,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
48,fini_adminexp_of_gr_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
49,fini_assets_to_eqt_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
50,fini_assets_to_eqt_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,True,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
51,fini_assets_to_eqt_t1,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
52,fini_assets_turn_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
53,fini_assets_turn_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,True,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
54,fini_assets_turn_t1,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
55,fini_assets_yoy_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
56,fini_bps_yoy_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
57,fini_ca_to_assets_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
58,fini_ca_turn_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
59,fini_cash_ratio_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
60,fini_current_ratio_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
61,fini_current_ratio_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,True,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
62,fini_current_ratio_t1,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
63,fini_currentdebt_to_debt_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
64,fini_debt_to_eqt_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
65,fini_debt_to_eqt_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,True,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
66,fini_debt_to_eqt_t1,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
67,fini_dt_eps_yoy_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
68,fini_ebit_of_gr_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
69,fini_ebit_of_gr_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,True,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
70,fini_ebt_yoy_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
71,fini_eqt_to_debt_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
72,fini_eqt_to_interestdebt_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
73,fini_eqt_to_talcapital_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
74,fini_equity_yoy_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
75,fini_expense_of_sales_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
76,fini_fa_turn_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
77,fini_fa_turn_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,True,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
78,fini_finaexp_of_gr_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
79,fini_gc_of_gr_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
80,fini_netprofit_yoy_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
81,fini_npta_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
82,fini_npta_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,True,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
83,fini_npta_t1,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
84,fini_ocf_to_debt_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
85,fini_ocf_to_debt_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,True,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
86,fini_ocf_to_debt_t1,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
87,fini_ocf_to_shortdebt_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
88,fini_ocf_yoy_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
89,fini_ocfps_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,True,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
90,fini_op_of_gr_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
91,fini_op_of_gr_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,True,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
92,fini_op_of_gr_t1,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
93,fini_op_yoy_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
94,fini_profit_to_gr_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
95,fini_profit_to_gr_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,True,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
96,fini_profit_to_gr_t1,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
