column_name,block,source_status,source_reference,source_rule_summary,time_rule_and_boundary,binding_to_retained_values,new_feature_values_generated,variant_binding
ctrl_state_owned_flag,ctrl_,generator_rule_recovered,"A0007:L63-L69,L159-L171; A0032:L150-L165",A0032 matches Chinese state keywords against S0702b; patched A0007 instead matches 国资/国务院/国有资产/人民政府/财政部 against S0701b.,Different historical implementations; actual retained-value version not identified by choosing latest filename.,not independently verified against original/intermediate Parquet,False,candidate rule present; actual executed upstream patch not independently bound
ctrl_voting,ctrl_,generator_rule_recovered,"A0007:L123-L143,L197-L204",Use selected row S0704c; fill missing with zero after base alignment.,Provider-field semantic definition not independently recreated.,not independently verified against original/intermediate Parquet,False,candidate rule present; actual executed upstream patch not independently bound
feat_t0_agreement_notices,feat_,matching_candidate_construction_rule_recovered,"MAC:S0024, S0025, S0026, S0048","Title-keyword notice counts and ratios for 13 retained fields, plus four quarter-offset aggregates selected by the v0.5 assembler.",Calendar-year notice_date grouping; timing input reduce_dates generation not independently bound.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
feat_t0_controller_notices,feat_,matching_candidate_construction_rule_recovered,"MAC:S0024, S0025, S0026, S0048","Title-keyword notice counts and ratios for 13 retained fields, plus four quarter-offset aggregates selected by the v0.5 assembler.",Calendar-year notice_date grouping; timing input reduce_dates generation not independently bound.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
feat_t0_dj_notices,feat_,matching_candidate_construction_rule_recovered,"MAC:S0024, S0025, S0026, S0048","Title-keyword notice counts and ratios for 13 retained fields, plus four quarter-offset aggregates selected by the v0.5 assembler.",Calendar-year notice_date grouping; timing input reduce_dates generation not independently bound.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
feat_t0_dj_ratio,feat_,matching_candidate_construction_rule_recovered,"MAC:S0024, S0025, S0026, S0048","Title-keyword notice counts and ratios for 13 retained fields, plus four quarter-offset aggregates selected by the v0.5 assembler.",Calendar-year notice_date grouping; timing input reduce_dates generation not independently bound.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
feat_t0_increase_notices,feat_,matching_candidate_construction_rule_recovered,"MAC:S0024, S0025, S0026, S0048","Title-keyword notice counts and ratios for 13 retained fields, plus four quarter-offset aggregates selected by the v0.5 assembler.",Calendar-year notice_date grouping; timing input reduce_dates generation not independently bound.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
feat_t0_large_holder_notices,feat_,matching_candidate_construction_rule_recovered,"MAC:S0024, S0025, S0026, S0048","Title-keyword notice counts and ratios for 13 retained fields, plus four quarter-offset aggregates selected by the v0.5 assembler.",Calendar-year notice_date grouping; timing input reduce_dates generation not independently bound.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
feat_t0_mean_quarter_offset,feat_,matching_candidate_construction_rule_recovered,"MAC:S0024, S0025, S0026, S0048","Title-keyword notice counts and ratios for 13 retained fields, plus four quarter-offset aggregates selected by the v0.5 assembler.",Calendar-year notice_date grouping; timing input reduce_dates generation not independently bound.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
feat_t0_monthly_hhi,feat_,matching_candidate_construction_rule_recovered,"MAC:S0024, S0025, S0026, S0048","Title-keyword notice counts and ratios for 13 retained fields, plus four quarter-offset aggregates selected by the v0.5 assembler.",Calendar-year notice_date grouping; timing input reduce_dates generation not independently bound.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
feat_t0_n_reduces,feat_,matching_candidate_construction_rule_recovered,"MAC:S0024, S0025, S0026, S0048","Title-keyword notice counts and ratios for 13 retained fields, plus four quarter-offset aggregates selected by the v0.5 assembler.",Calendar-year notice_date grouping; timing input reduce_dates generation not independently bound.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
feat_t0_pct5_notices,feat_,matching_candidate_construction_rule_recovered,"MAC:S0024, S0025, S0026, S0048","Title-keyword notice counts and ratios for 13 retained fields, plus four quarter-offset aggregates selected by the v0.5 assembler.",Calendar-year notice_date grouping; timing input reduce_dates generation not independently bound.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
feat_t0_q4_offset_share,feat_,matching_candidate_construction_rule_recovered,"MAC:S0024, S0025, S0026, S0048","In S0026, fraction of valid offsets within +/-30 days of the nearest quarter end (not Q4-only).",Calendar-year notice_date grouping; timing input reduce_dates generation not independently bound.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
feat_t0_q4_share,feat_,matching_candidate_construction_rule_recovered,"MAC:S0024, S0025, S0026, S0048","Title-keyword notice counts and ratios for 13 retained fields, plus four quarter-offset aggregates selected by the v0.5 assembler.",Calendar-year notice_date grouping; timing input reduce_dates generation not independently bound.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
feat_t0_reduce_notices,feat_,matching_candidate_construction_rule_recovered,"MAC:S0024, S0025, S0026, S0048","Title-keyword notice counts and ratios for 13 retained fields, plus four quarter-offset aggregates selected by the v0.5 assembler.",Calendar-year notice_date grouping; timing input reduce_dates generation not independently bound.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
feat_t0_reduce_plan_notices,feat_,matching_candidate_construction_rule_recovered,"MAC:S0024, S0025, S0026, S0048","Title-keyword notice counts and ratios for 13 retained fields, plus four quarter-offset aggregates selected by the v0.5 assembler.",Calendar-year notice_date grouping; timing input reduce_dates generation not independently bound.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
feat_t0_reduce_progress_notices,feat_,matching_candidate_construction_rule_recovered,"MAC:S0024, S0025, S0026, S0048","Title-keyword notice counts and ratios for 13 retained fields, plus four quarter-offset aggregates selected by the v0.5 assembler.",Calendar-year notice_date grouping; timing input reduce_dates generation not independently bound.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
feat_t0_std_quarter_offset,feat_,matching_candidate_construction_rule_recovered,"MAC:S0024, S0025, S0026, S0048",S0026 computes group std; S0048 conditionally fills missing values with zero when missingness >99%; not a validated reconstruction of upstream dates.,Calendar-year notice_date grouping; timing input reduce_dates generation not independently bound.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
feat_t0_total_notices,feat_,matching_candidate_construction_rule_recovered,"MAC:S0024, S0025, S0026, S0048","Title-keyword notice counts and ratios for 13 retained fields, plus four quarter-offset aggregates selected by the v0.5 assembler.",Calendar-year notice_date grouping; timing input reduce_dates generation not independently bound.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fin_dsri_t0,fin_,matching_candidate_formula_recovered,MAC:S0009 embedded compute_derived_financials_v0.py,"DSRI, implemented eight-component M-score, CFO/NI, other receivables/assets, implemented Z-prime; t0 and lagged t1 plus nine industry-standardized variants.","t0 fiscal year t; t1 fiscal year t-1; some formulas also use t-2. update_flag-based dedup, not anchor-date selection.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fin_dsri_t0_zind,fin_,matching_candidate_formula_recovered,MAC:S0009 embedded compute_derived_financials_v0.py,"DSRI, implemented eight-component M-score, CFO/NI, other receivables/assets, implemented Z-prime; t0 and lagged t1 plus nine industry-standardized variants.","t0 fiscal year t; t1 fiscal year t-1; some formulas also use t-2. update_flag-based dedup, not anchor-date selection. Candidate standardization uses same-year industry groups, not the training-only model-input scaler.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fin_dsri_t1,fin_,matching_candidate_formula_recovered,MAC:S0009 embedded compute_derived_financials_v0.py,"DSRI, implemented eight-component M-score, CFO/NI, other receivables/assets, implemented Z-prime; t0 and lagged t1 plus nine industry-standardized variants.","t0 fiscal year t; t1 fiscal year t-1; some formulas also use t-2. update_flag-based dedup, not anchor-date selection.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fin_dsri_t1_zind,fin_,matching_candidate_formula_recovered,MAC:S0009 embedded compute_derived_financials_v0.py,"DSRI, implemented eight-component M-score, CFO/NI, other receivables/assets, implemented Z-prime; t0 and lagged t1 plus nine industry-standardized variants.","t0 fiscal year t; t1 fiscal year t-1; some formulas also use t-2. update_flag-based dedup, not anchor-date selection. Candidate standardization uses same-year industry groups, not the training-only model-input scaler.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fin_mscore_t0,fin_,matching_candidate_formula_recovered,MAC:S0009 embedded compute_derived_financials_v0.py,"DSRI, implemented eight-component M-score, CFO/NI, other receivables/assets, implemented Z-prime; t0 and lagged t1 plus nine industry-standardized variants.","t0 fiscal year t; t1 fiscal year t-1; some formulas also use t-2. update_flag-based dedup, not anchor-date selection.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fin_mscore_t0_zind,fin_,matching_candidate_formula_recovered,MAC:S0009 embedded compute_derived_financials_v0.py,"DSRI, implemented eight-component M-score, CFO/NI, other receivables/assets, implemented Z-prime; t0 and lagged t1 plus nine industry-standardized variants.","t0 fiscal year t; t1 fiscal year t-1; some formulas also use t-2. update_flag-based dedup, not anchor-date selection. Candidate standardization uses same-year industry groups, not the training-only model-input scaler.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fin_mscore_t1,fin_,matching_candidate_formula_recovered,MAC:S0009 embedded compute_derived_financials_v0.py,"DSRI, implemented eight-component M-score, CFO/NI, other receivables/assets, implemented Z-prime; t0 and lagged t1 plus nine industry-standardized variants.","t0 fiscal year t; t1 fiscal year t-1; some formulas also use t-2. update_flag-based dedup, not anchor-date selection.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fin_mscore_t1_zind,fin_,matching_candidate_formula_recovered,MAC:S0009 embedded compute_derived_financials_v0.py,"DSRI, implemented eight-component M-score, CFO/NI, other receivables/assets, implemented Z-prime; t0 and lagged t1 plus nine industry-standardized variants.","t0 fiscal year t; t1 fiscal year t-1; some formulas also use t-2. update_flag-based dedup, not anchor-date selection. Candidate standardization uses same-year industry groups, not the training-only model-input scaler.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fin_ocf_to_ni_t0,fin_,matching_candidate_formula_recovered,MAC:S0009 embedded compute_derived_financials_v0.py,"DSRI, implemented eight-component M-score, CFO/NI, other receivables/assets, implemented Z-prime; t0 and lagged t1 plus nine industry-standardized variants.","t0 fiscal year t; t1 fiscal year t-1; some formulas also use t-2. update_flag-based dedup, not anchor-date selection.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fin_ocf_to_ni_t0_zind,fin_,matching_candidate_formula_recovered,MAC:S0009 embedded compute_derived_financials_v0.py,"DSRI, implemented eight-component M-score, CFO/NI, other receivables/assets, implemented Z-prime; t0 and lagged t1 plus nine industry-standardized variants.","t0 fiscal year t; t1 fiscal year t-1; some formulas also use t-2. update_flag-based dedup, not anchor-date selection. Candidate standardization uses same-year industry groups, not the training-only model-input scaler.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fin_ocf_to_ni_t1,fin_,matching_candidate_formula_recovered,MAC:S0009 embedded compute_derived_financials_v0.py,"DSRI, implemented eight-component M-score, CFO/NI, other receivables/assets, implemented Z-prime; t0 and lagged t1 plus nine industry-standardized variants.","t0 fiscal year t; t1 fiscal year t-1; some formulas also use t-2. update_flag-based dedup, not anchor-date selection.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fin_ocf_to_ni_t1_zind,fin_,matching_candidate_formula_recovered,MAC:S0009 embedded compute_derived_financials_v0.py,"DSRI, implemented eight-component M-score, CFO/NI, other receivables/assets, implemented Z-prime; t0 and lagged t1 plus nine industry-standardized variants.","t0 fiscal year t; t1 fiscal year t-1; some formulas also use t-2. update_flag-based dedup, not anchor-date selection. Candidate standardization uses same-year industry groups, not the training-only model-input scaler.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fin_oth_recv_to_ta_t0,fin_,matching_candidate_formula_recovered,MAC:S0009 embedded compute_derived_financials_v0.py,"DSRI, implemented eight-component M-score, CFO/NI, other receivables/assets, implemented Z-prime; t0 and lagged t1 plus nine industry-standardized variants.","t0 fiscal year t; t1 fiscal year t-1; some formulas also use t-2. update_flag-based dedup, not anchor-date selection.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fin_oth_recv_to_ta_t0_zind,fin_,matching_candidate_formula_recovered,MAC:S0009 embedded compute_derived_financials_v0.py,"DSRI, implemented eight-component M-score, CFO/NI, other receivables/assets, implemented Z-prime; t0 and lagged t1 plus nine industry-standardized variants.","t0 fiscal year t; t1 fiscal year t-1; some formulas also use t-2. update_flag-based dedup, not anchor-date selection. Candidate standardization uses same-year industry groups, not the training-only model-input scaler.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fin_oth_recv_to_ta_t1,fin_,matching_candidate_formula_recovered,MAC:S0009 embedded compute_derived_financials_v0.py,"DSRI, implemented eight-component M-score, CFO/NI, other receivables/assets, implemented Z-prime; t0 and lagged t1 plus nine industry-standardized variants.","t0 fiscal year t; t1 fiscal year t-1; some formulas also use t-2. update_flag-based dedup, not anchor-date selection.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fin_oth_recv_to_ta_t1_zind,fin_,matching_candidate_formula_recovered,MAC:S0009 embedded compute_derived_financials_v0.py,"DSRI, implemented eight-component M-score, CFO/NI, other receivables/assets, implemented Z-prime; t0 and lagged t1 plus nine industry-standardized variants.","t0 fiscal year t; t1 fiscal year t-1; some formulas also use t-2. update_flag-based dedup, not anchor-date selection. Candidate standardization uses same-year industry groups, not the training-only model-input scaler.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fin_zscore_t0,fin_,matching_candidate_formula_recovered,MAC:S0009 embedded compute_derived_financials_v0.py,"DSRI, implemented eight-component M-score, CFO/NI, other receivables/assets, implemented Z-prime; t0 and lagged t1 plus nine industry-standardized variants.","t0 fiscal year t; t1 fiscal year t-1; some formulas also use t-2. update_flag-based dedup, not anchor-date selection.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fin_zscore_t0_zind,fin_,matching_candidate_formula_recovered,MAC:S0009 embedded compute_derived_financials_v0.py,"DSRI, implemented eight-component M-score, CFO/NI, other receivables/assets, implemented Z-prime; t0 and lagged t1 plus nine industry-standardized variants.","t0 fiscal year t; t1 fiscal year t-1; some formulas also use t-2. update_flag-based dedup, not anchor-date selection. Candidate standardization uses same-year industry groups, not the training-only model-input scaler.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_adminexp_of_gr_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_assets_to_eqt_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_assets_to_eqt_t0_zind,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.","fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate. Candidate standardization uses same-year industry groups, not the training-only model-input scaler.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_assets_to_eqt_t1,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_assets_turn_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_assets_turn_t0_zind,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.","fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate. Candidate standardization uses same-year industry groups, not the training-only model-input scaler.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_assets_turn_t1,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_assets_yoy_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_bps_yoy_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_ca_to_assets_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_ca_turn_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_cash_ratio_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_current_ratio_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_current_ratio_t0_zind,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.","fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate. Candidate standardization uses same-year industry groups, not the training-only model-input scaler.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_current_ratio_t1,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_currentdebt_to_debt_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_debt_to_eqt_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_debt_to_eqt_t0_zind,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.","fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate. Candidate standardization uses same-year industry groups, not the training-only model-input scaler.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_debt_to_eqt_t1,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
