M11_order_1_based,column_name,prefix_block,documented_block,M5,M10,M11,M11_without_audit,upstream_zind_identifier,source_report_all_zero,formula_verification,source
25,feat_t0_reduce_notices,feat_,Insider/share-transaction announcement summaries,True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
26,feat_t0_reduce_plan_notices,feat_,Insider/share-transaction announcement summaries,True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
27,feat_t0_reduce_progress_notices,feat_,Insider/share-transaction announcement summaries,True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
28,feat_t0_std_quarter_offset,feat_,Insider/share-transaction announcement summaries,True,True,True,True,False,True,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
29,feat_t0_total_notices,feat_,Insider/share-transaction announcement summaries,True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
30,fin_dsri_t0,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
31,fin_dsri_t0_zind,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,True,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
32,fin_dsri_t1,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
33,fin_dsri_t1_zind,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,True,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
34,fin_mscore_t0,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
35,fin_mscore_t0_zind,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,True,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
36,fin_mscore_t1,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
37,fin_mscore_t1_zind,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,True,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
38,fin_ocf_to_ni_t0,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
39,fin_ocf_to_ni_t0_zind,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,True,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
40,fin_ocf_to_ni_t1,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
41,fin_ocf_to_ni_t1_zind,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,True,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
42,fin_oth_recv_to_ta_t0,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
43,fin_oth_recv_to_ta_t0_zind,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,True,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
44,fin_oth_recv_to_ta_t1,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
45,fin_oth_recv_to_ta_t1_zind,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,True,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
46,fin_zscore_t0,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
47,fin_zscore_t0_zind,fin_,Core financial indicators (recorded fin_ block),True,True,True,True,True,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
48,fini_adminexp_of_gr_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
49,fini_assets_to_eqt_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
50,fini_assets_to_eqt_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,True,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
51,fini_assets_to_eqt_t1,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
52,fini_assets_turn_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
53,fini_assets_turn_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,True,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
54,fini_assets_turn_t1,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
55,fini_assets_yoy_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
56,fini_bps_yoy_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
57,fini_ca_to_assets_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
58,fini_ca_turn_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
59,fini_cash_ratio_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
60,fini_current_ratio_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
61,fini_current_ratio_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,True,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
62,fini_current_ratio_t1,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
63,fini_currentdebt_to_debt_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
64,fini_debt_to_eqt_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
65,fini_debt_to_eqt_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,True,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
66,fini_debt_to_eqt_t1,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
67,fini_dt_eps_yoy_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
68,fini_ebit_of_gr_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
69,fini_ebit_of_gr_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,True,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
70,fini_ebt_yoy_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
71,fini_eqt_to_debt_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
72,fini_eqt_to_interestdebt_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
73,fini_eqt_to_talcapital_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
74,fini_equity_yoy_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
75,fini_expense_of_sales_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
76,fini_fa_turn_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
77,fini_fa_turn_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,True,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
78,fini_finaexp_of_gr_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
79,fini_gc_of_gr_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
80,fini_netprofit_yoy_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
81,fini_npta_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
82,fini_npta_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,True,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
83,fini_npta_t1,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
84,fini_ocf_to_debt_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
85,fini_ocf_to_debt_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,True,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
86,fini_ocf_to_debt_t1,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
87,fini_ocf_to_shortdebt_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
88,fini_ocf_yoy_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
89,fini_ocfps_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,True,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
90,fini_op_of_gr_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
91,fini_op_of_gr_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,True,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
92,fini_op_of_gr_t1,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
93,fini_op_yoy_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
94,fini_profit_to_gr_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
95,fini_profit_to_gr_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,True,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
96,fini_profit_to_gr_t1,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
97,fini_profit_to_op_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
98,fini_q_ocf_to_sales_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
99,fini_q_ocf_to_sales_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,True,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
100,fini_q_ocf_to_sales_t1,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
101,fini_quick_ratio_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
